NAME,Type,District,Management,Long,Lat
Tai Ming Lane Square,Square,Tai Po,Leisure and Cultural Services Department,114.167,22.4474
Tin Hau Temple Fung Shui Square,Square,Tai Po,Leisure and Cultural Services Department,114.167,22.4541
Tai Po Waterfront Park,Waterfront,Tai Po,Leisure and Cultural Services Department,114.181,22.4516
Sam Tung Uk Garden,Garden and Sitting-out Area,Tsuen Wan,Leisure and Cultural Services Department,114.121,22.3718
Sheung Kwai Chung Garden,Garden and Sitting-out Area,Tsuen Wan,Leisure and Cultural Services Department,114.135,22.3763
Fu Uk Garden,Garden and Sitting-out Area,Tsuen Wan,Leisure and Cultural Services Department,114.131,22.3728
Fu Uk Road Rest Garden,Garden and Sitting-out Area,Tsuen Wan,Leisure and Cultural Services Department,114.131,22.3727
Wo Yip Hop Road Garden,Garden and Sitting-out Area,Tsuen Wan,Leisure and Cultural Services Department,114.136,22.3726
Yuen Tung Garden,Garden and Sitting-out Area,Tsuen Wan,Leisure and Cultural Services Department,114.111,22.3705
Tai Ho Road Sitting-out Area No. 1,Garden and Sitting-out Area,Tsuen Wan,Leisure and Cultural Services Department,114.116,22.3719
Tai Ho Road Sitting-out Area No. 3,Garden and Sitting-out Area,Tsuen Wan,Leisure and Cultural Services Department,114.115,22.3713
Tai Ho Road Sitting-out Area No. 2,Garden and Sitting-out Area,Tsuen Wan,Leisure and Cultural Services Department,114.116,22.3716
Miu Kong Street Sitting-out Area,Garden and Sitting-out Area,Tsuen Wan,Leisure and Cultural Services Department,114.123,22.372
Muk Min Ha Garden,Garden and Sitting-out Area,Tsuen Wan,Leisure and Cultural Services Department,114.12,22.3764
Chai Wan Kok Rest Garden,Garden and Sitting-out Area,Tsuen Wan,Leisure and Cultural Services Department,114.109,22.3718
Ting Kau Garden,Garden and Sitting-out Area,Tsuen Wan,Leisure and Cultural Services Department,114.08,22.37
Yau Ma Hom Garden,Garden and Sitting-out Area,Tsuen Wan,Leisure and Cultural Services Department,114.133,22.3717
Hoi Shing Garden,Garden and Sitting-out Area,Tsuen Wan,Leisure and Cultural Services Department,114.107,22.3723
Pak Lam Road Garden,Garden and Sitting-out Area,Tsuen Wan,Leisure and Cultural Services Department,114.059,22.3525
Pak Tin Pa Garden,Garden and Sitting-out Area,Tsuen Wan,Leisure and Cultural Services Department,114.121,22.3772
Lo Wai Garden,Garden and Sitting-out Area,Tsuen Wan,Leisure and Cultural Services Department,114.126,22.3788
Tsuen Fu Street Garden,Garden and Sitting-out Area,Tsuen Wan,Leisure and Cultural Services Department,114.122,22.3688
Tsuen King Circuit Garden,Garden and Sitting-out Area,Tsuen Wan,Leisure and Cultural Services Department,114.111,22.378
Tsuen King Circuit Playground & Rest Garden,Garden and Sitting-out Area,Tsuen Wan,Leisure and Cultural Services Department,114.106,22.3788
Tsuen Wan Tin Hau Temple Garden,Garden and Sitting-out Area,Tsuen Wan,Leisure and Cultural Services Department,114.122,22.3732
Tsuen Kwai Street Sitting-out Area,Garden and Sitting-out Area,Tsuen Wan,Leisure and Cultural Services Department,114.122,22.3694
Wai Tsuen Road Rest Garden,Garden and Sitting-out Area,Tsuen Wan,Leisure and Cultural Services Department,114.121,22.3745
Wai Tsuen Road Garden,Garden and Sitting-out Area,Tsuen Wan,Leisure and Cultural Services Department,114.123,22.3732
Sai Lau Kok Garden,Garden and Sitting-out Area,Tsuen Wan,Leisure and Cultural Services Department,114.118,22.3731
Kam Mun Hau Garden (Phase I & II),Garden and Sitting-out Area,Tsuen Wan,Leisure and Cultural Services Department,114.121,22.37
Indi Home ground level,Garden and Sitting-out Area,Tsuen Wan,Private Owner,114.12,22.366
H Cube ground level,Garden and Sitting-out Area,Tsuen Wan,Private Owner,114.12,22.366
"Vision City G/F,
 UG/F and 1/F",Garden and Sitting-out Area,Tsuen Wan,Private Owner,114.11,22.37
Bellagio ground level,Garden and Sitting-out Area,Tsuen Wan,Private Owner,114.06,22.367
Belvedere Garden Phases II & III ground level,Garden and Sitting-out Area,Tsuen Wan,Private Owner,114.1,22.371
Kwok Shui Road Park,Park,Tsuen Wan,Leisure and Cultural Services Department,114.127,22.371
Circle Park,Park,Tsuen Wan,Leisure and Cultural Services Department,114.123,22.37
Tsuen Wan Park,Park,Tsuen Wan,Leisure and Cultural Services Department,114.113,22.3672
Jockey Club Tak Wah Park,Park,Tsuen Wan,Leisure and Cultural Services Department,114.118,22.3703
Sham Tsz Street Playgorund,Pet Garden,Tsuen Wan,Leisure and Cultural Services Department,114.064,22.3653
Tsuen Wan Park,Pet Garden,Tsuen Wan,Leisure and Cultural Services Department,114.113,22.3672
Sham Tsz Street Playgorund,Playground,Tsuen Wan,Leisure and Cultural Services Department,114.064,22.3653
Sam Tung Uk Village Playground,Playground,Tsuen Wan,Leisure and Cultural Services Department,114.131,22.3803
Sam Pei Square Playground,Playground,Tsuen Wan,Leisure and Cultural Services Department,114.117,22.3687
Sheung Kwai Chung Children's Playground,Playground,Tsuen Wan,Leisure and Cultural Services Department,114.133,22.3749
Ha Fa Shan Children's Playground,Playground,Tsuen Wan,Leisure and Cultural Services Department,114.099,22.3854
Yi Pei Square Playground,Playground,Tsuen Wan,Leisure and Cultural Services Department,114.116,22.3693
Tai Pei Square Playground,Playground,Tsuen Wan,Leisure and Cultural Services Department,114.117,22.3704
San Tsuen Children's Playground,Playground,Tsuen Wan,Leisure and Cultural Services Department,114.122,22.3779
Chai Wan Kok Playground,Playground,Tsuen Wan,Leisure and Cultural Services Department,114.104,22.376
Ting Kau Village Playground,Playground,Tsuen Wan,Leisure and Cultural Services Department,114.08,22.3693
Sha Tsui Road Playground,Playground,Tsuen Wan,Leisure and Cultural Services Department,114.114,22.372
Hoi On Road Playground,Playground,Tsuen Wan,Leisure and Cultural Services Department,114.102,22.3712
Sham Tseng Temporary Playground,Playground,Tsuen Wan,Leisure and Cultural Services Department,114.058,22.3679
Sham Tseng Resite Village Children's Playground,Playground,Tsuen Wan,Leisure and Cultural Services Department,114.058,22.368
Tsuen King Circuit Playground,Playground,Tsuen Wan,Leisure and Cultural Services Department,114.106,22.3793
Tsuen Wing Street Playground,Playground,Tsuen Wan,Leisure and Cultural Services Department,114.121,22.3681
"Shek Pik Resettlers' Playground,Tsuen Wan",Playground,Tsuen Wan,Leisure and Cultural Services Department,114.117,22.3681
Tsuen Wan Market Roof Top Playground,Playground,Tsuen Wan,Leisure and Cultural Services Department,114.117,22.3713
Sai Lau Kok Tsuen Children's Playground,Playground,Tsuen Wan,Leisure and Cultural Services Department,114.123,22.3772
Kwan Mun Hau Tsuen Children's Playground,Playground,Tsuen Wan,Leisure and Cultural Services Department,114.125,22.3716
Tsing Yuen Children's Playground,Playground,Tsuen Wan,Leisure and Cultural Services Department,114.046,22.3627
Yeung Uk Road Sports Centre,Sports Centre,Tsuen Wan,Leisure and Cultural Services Department,114.115,22.369
Tsuen King Circuit Sports Centre,Sports Centre,Tsuen Wan,Leisure and Cultural Services Department,114.111,22.3775
Tsuen Wan West Sports Centre,Sports Centre,Tsuen Wan,Leisure and Cultural Services Department,114.101,22.3705
Wai Tsuen Sports Centre,Sports Centre,Tsuen Wan,Leisure and Cultural Services Department,114.123,22.3724
Tsuen Wan Riviera Park,Waterfront,Tsuen Wan,Leisure and Cultural Services Department,114.111,22.3667
Ocean Pointe Promenade,Waterfront,Tsuen Wan,Private Owner,114.15,22.301
Tsing Sin Street Basketball Court,Basketball Court,Tuen Mun,Leisure and Cultural Services Department,113.98,22.386
Tseng Tau Chung Tsuen Sitting-out Area,Garden and Sitting-out Area,Tuen Mun,Leisure and Cultural Services Department,113.979,22.3986
Yau Oi Sitting-out Area,Garden and Sitting-out Area,Tuen Mun,Leisure and Cultural Services Department,113.974,22.3871
Siu Hang Siting-out Area,Garden and Sitting-out Area,Tuen Mun,Leisure and Cultural Services Department,113.972,22.4143
Tuen Mun Hung Cheung Road Sitting-out Area,Garden and Sitting-out Area,Tuen Mun,Leisure and Cultural Services Department,113.969,22.3938
Tuen Mun Tsing Yeung Rest Garden,Garden and Sitting-out Area,Tuen Mun,Leisure and Cultural Services Department,113.978,22.4032
So Kwun Wat Sitting-out Area,Garden and Sitting-out Area,Tuen Mun,Leisure and Cultural Services Department,114.005,22.3776
San Hui Sitting-out Area,Garden and Sitting-out Area,Tuen Mun,Leisure and Cultural Services Department,113.977,22.3979
San Hui Tsuen Rest Garden,Garden and Sitting-out Area,Tuen Mun,Leisure and Cultural Services Department,113.979,22.4013
San On Sitting-out Area,Garden and Sitting-out Area,Tuen Mun,Leisure and Cultural Services Department,113.97,22.393
Trend Sitting-out Area,Garden and Sitting-out Area,Tuen Mun,Leisure and Cultural Services Department,113.976,22.3928
Pui To Road (South) Rest Garden,Garden and Sitting-out Area,Tuen Mun,Leisure and Cultural Services Department,113.972,22.393
Yeung Siu Hang Garden,Garden and Sitting-out Area,Tuen Mun,Leisure and Cultural Services Department,113.967,22.3947
Hoi Wong Road Garden,Garden and Sitting-out Area,Tuen Mun,Leisure and Cultural Services Department,113.97,22.3855
Wu Shan Garden,Garden and Sitting-out Area,Tuen Mun,Leisure and Cultural Services Department,113.97,22.373
Fuk Hang Tsuen Road Garden,Garden and Sitting-out Area,Tuen Mun,Leisure and Cultural Services Department,113.985,22.4206
Hung Lau Sitting-out Area,Garden and Sitting-out Area,Tuen Mun,Leisure and Cultural Services Department,113.961,22.3779
Leung Tin Tsuen Garden,Garden and Sitting-out Area,Tuen Mun,Leisure and Cultural Services Department,113.978,22.3991
Ngan Wai Rest Garden,Garden and Sitting-out Area,Tuen Mun,Leisure and Cultural Services Department,113.974,22.4029
Tsing Sin Garden,Garden and Sitting-out Area,Tuen Mun,Leisure and Cultural Services Department,113.981,22.3882
Tsing Ho Rest Garden,Garden and Sitting-out Area,Tuen Mun,Leisure and Cultural Services Department,113.98,22.3881
Tsing Wu Sitting-out Area,Garden and Sitting-out Area,Tuen Mun,Leisure and Cultural Services Department,113.979,22.3888
Tsing Tin Garden,Garden and Sitting-out Area,Tuen Mun,Leisure and Cultural Services Department,113.971,22.4049
Tsing Lung Garden,Garden and Sitting-out Area,Tuen Mun,Leisure and Cultural Services Department,113.997,22.3658
Fung Tei Garden,Garden and Sitting-out Area,Tuen Mun,Leisure and Cultural Services Department,113.979,22.4064
Chelsea Heights ground level,Garden and Sitting-out Area,Tuen Mun,Private Owner,113.97,22.402
Botania Villa upper ground level,Garden and Sitting-out Area,Tuen Mun,Private Owner,113.99,22.417
Tuen Mun Town Plaza (Phase I) 4/F,Garden and Sitting-out Area,Tuen Mun,Private Owner,113.98,22.393
Chi Lok Fa Yuen ground level,Garden and Sitting-out Area,Tuen Mun,Private Owner,113.98,22.388
Tuen Mun Park,Park,Tuen Mun,Leisure and Cultural Services Department,113.974,22.3914
Wu Shan Riverside Park,Park,Tuen Mun,Leisure and Cultural Services Department,113.967,22.3844
Butterfly Beach Park,Park,Tuen Mun,Leisure and Cultural Services Department,113.958,22.3736
Deacon Chiu Park,Park,Tuen Mun,Leisure and Cultural Services Department,113.975,22.3945
Castle Peak Road (San Hui) Park,Park,Tuen Mun,Leisure and Cultural Services Department,113.978,22.4058
Ki Lun Kong Public Park,Park,Tuen Mun,Leisure and Cultural Services Department,113.979,22.3824
Hoi Wong Road Garden,Pet Garden,Tuen Mun,Leisure and Cultural Services Department,113.97,22.3855
Lam Tei Pet Garden,Pet Garden,Tuen Mun,Leisure and Cultural Services Department,113.99,22.422
Hang Kwai Street Playgound,Playground,Tuen Mun,Leisure and Cultural Services Department,113.974,22.3827
Tai Lam Chung Tsuen Children's Playground,Playground,Tuen Mun,Leisure and Cultural Services Department,114.021,22.3618
Tai Lam Chung Road Children's Playground,Playground,Tuen Mun,Leisure and Cultural Services Department,114.021,22.3637
"Kwong Choi Market Roof-top Playground, Tuen Mun",Playground,Tuen Mun,Leisure and Cultural Services Department,113.979,22.4042
Lingnan Playground,Playground,Tuen Mun,Leisure and Cultural Services Department,113.982,22.4115
San Wo Lane PlaygroundSan Wo Lane Playground,Playground,Tuen Mun,Leisure and Cultural Services Department,113.977,22.4021
San Wai Chai Children's Playground,Playground,Tuen Mun,Leisure and Cultural Services Department,113.978,22.3987
San Hui Playground,Playground,Tuen Mun,Leisure and Cultural Services Department,113.976,22.4003
San Hing Tsuen Children's Playground,Playground,Tuen Mun,Leisure and Cultural Services Department,113.98,22.4178
King Fung Children's Playground,Playground,Tuen Mun,Leisure and Cultural Services Department,113.98,22.4045
Yeung King Playground,Playground,Tuen Mun,Leisure and Cultural Services Department,113.963,22.3961
Hung Cheung Road Playground,Playground,Tuen Mun,Leisure and Cultural Services Department,113.969,22.3927
Hoi Chu Road Playground,Playground,Tuen Mun,Leisure and Cultural Services Department,113.974,22.3835
Wu Shan Recreation Playground,Playground,Tuen Mun,Leisure and Cultural Services Department,113.965,22.3796
Shek Pai Tau Playground,Playground,Tuen Mun,Leisure and Cultural Services Department,113.97,22.3975
Fuk Hang Playground,Playground,Tuen Mun,Leisure and Cultural Services Department,113.985,22.4215
Nim Wan Tsuen Children's Playground,Playground,Tuen Mun,Leisure and Cultural Services Department,113.997,22.3698
Mouse Island Children's Playground,Playground,Tuen Mun,Leisure and Cultural Services Department,113.976,22.383
Wah Fat Playground,Playground,Tuen Mun,Leisure and Cultural Services Department,113.982,22.3838
Fu Tei Chung Tsuen Children's Playground,Playground,Tuen Mun,Leisure and Cultural Services Department,113.983,22.4116
Fung On Street Children's Playground,Playground,Tuen Mun,Leisure and Cultural Services Department,113.973,22.3853
Tsing Sin Playground,Playground,Tuen Mun,Leisure and Cultural Services Department,113.98,22.3847
Tsing Shan Children's Playground,Playground,Tuen Mun,Leisure and Cultural Services Department,113.98,22.3889
Tsing Min Children's Playground,Playground,Tuen Mun,Leisure and Cultural Services Department,113.979,22.4045
Tsing Hoi Playground,Playground,Tuen Mun,Leisure and Cultural Services Department,113.979,22.3897
Tsing Tin Playground,Playground,Tuen Mun,Leisure and Cultural Services Department,113.968,22.406
Kei Lun Wai Children's Playground,Playground,Tuen Mun,Leisure and Cultural Services Department,113.976,22.4121
Nai Wai Soccer Pitch,Soccer Pitch,Tuen Mun,Leisure and Cultural Services Department,113.989,22.4225
Tsing Wah Soccer Pitch,Soccer Pitch,Tuen Mun,Leisure and Cultural Services Department,113.98,22.3865
Yau Oi Sport Centre,Sports Center,Tuen Mun,Leisure and Cultural Services Department,113.972,22.3854
Tai Hing Sport Centre,Sports Center,Tuen Mun,Leisure and Cultural Services Department,113.973,22.4033
Leung Tin Sport Centre,Sports Center,Tuen Mun,Leisure and Cultural Services Department,113.965,22.4067
The Jockey Club Tuen Mun Butterfly Beach Sport Cen,Sports Center,Tuen Mun,Leisure and Cultural Services Department,113.965,22.3787
Siu Lun Sports Ground,Sports Ground,Tuen Mun,Leisure and Cultural Services Department,113.978,22.385
Tuen Mun Swimming Pool Squash Courts,Sports Ground,Tuen Mun,Leisure and Cultural Services Department,113.97,22.3835
Tuen Mun Tang Shiu Kin Sports Ground,Sports Ground,Tuen Mun,Leisure and Cultural Services Department,113.974,22.4042
Wu Shan Tennis Courts,Sports Ground,Tuen Mun,Leisure and Cultural Services Department,113.968,22.3766
Wu Shan Bowling Green,Sports Ground,Tuen Mun,Leisure and Cultural Services Department,113.969,22.3753
Yan Oi Town Square,Square,Tuen Mun,Leisure and Cultural Services Department,113.976,22.3966
Tuen Mun Cultural Square,Square,Tuen Mun,Leisure and Cultural Services Department,113.977,22.3908
Tuen Mun Promenade,Waterfront,Tuen Mun,Leisure and Cultural Services Department,113.965,22.3725
Stubbs Road Sitting-out Area,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.18,22.2688
Stubbs Road Garden,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.18,22.2685
Gloucester Road/Cannon Street Sitting-out Area,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.183,22.2818
Gloucester Road Garden,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.172,22.2798
Ka Ning Path Garden,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.19,22.2767
Kennedy Street Sitting-out Area,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.174,22.273
Tai Hang Drive Sitting-out Area,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.193,22.2738
Tai Hang Road Rest Garden,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.192,22.2744
Tai Tam Reservoir Road Sitting-out Area,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.193,22.2572
Tai Wong Street East Sitting-out Area,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.171,22.276
Bowen Road Lover's Stone Garden,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.177,22.271
Bowen Road Temporary Sitting-out Area,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.168,22.2739
Bowen Road Garden,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.166,22.2725
Amoy Street Sitting-out Area,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.172,22.2758
Sing Woo Road Rest Garden,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.185,22.2702
Spring Garden Lane Sitting-out Area,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.173,22.2752
Bullock Lane Sitting-out Area,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.176,22.2765
Tung Wah Centenary Square Garden,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.177,22.2754
Eastern Hospital Road Sitting-out Area,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.188,22.2745
Eastern Hospital Road Temporary Rest Garden,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.19,22.2752
Broadwood Road Rest Garden,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.185,22.2737
Wing Ning Street Sitting-out Area,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.18,22.2776
Harbour Road Garden,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.175,22.2804
Mount Butler Sitting-out Area,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.191,22.2652
Perkin's Road Sitting-out Area,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.193,22.2698
Queen's Road East/Swatow Street Sitting-out Area,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.171,22.2754
Queen's Road East/Hennessy Road Sitting-out Area,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.168,22.2777
Queen's Road East Garden,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.177,22.2753
Stone Nullah Lane Garden,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.174,22.273
Green Lane Service Reservoir Sitting-out Area,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.187,22.2639
Lun Fat Street Rest Garden (Bauhinia Garden),Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.17,22.2764
Lun Fat Street Rest Garden,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.17,22.2762
Fleming Road Garden,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.174,22.2802
Monmouth Terrace Sitting-out Area,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.167,22.2757
Lin Fa Kung Street East Sitting-out Area,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.193,22.2798
Lin Fa Kung Garden,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.193,22.2795
Blue Pool Road Sitting-out Area,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.189,22.2666
Hennessy Road/Johnston Road Sitting-out Area,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.177,22.2778
Tung Lo Wan Garden,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.186,22.2831
Tung Lo Wan Road Sitting-out Area,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.189,22.2787
Tunnel Approach Rest Garden,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.18,22.2815
Ventris Road Garden,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.185,22.2715
Sports Road Garden,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.181,22.2754
Wong Nai Chung Gap Sitting-out Area,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.183,22.2763
Wong Nai Chung Road Rest Garden,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.184,22.2735
Wong Nai Chung Road Crescent Garden,Garden and Sitting-out Area,Wan Chai,Leisure and Cultural Services Department,114.184,22.2701
The Leighton Hill ground level,Garden and Sitting-out Area,Wan Chai,Private Owner,114.18,22.276
Li Chit Garden ground level,Garden and Sitting-out Area,Wan Chai,Private Owner,114.17,22.277
Starcrest ground level,Garden and Sitting-out Area,Wan Chai,Private Owner,114.17,22.277
"Comix Home Base ground level and 3/F
 inclusive of 2 Elevated Walkways",Garden and Sitting-out Area,Wan Chai,Private Owner,114.18,22.277
Stubbs Road Lookout,Lookout,Wan Chai,Leisure and Cultural Services Department,114.176,22.2702
Bowen Road Park,Park,Wan Chai,Leisure and Cultural Services Department,114.172,22.27
Wan Chai Park,Park,Wan Chai,Leisure and Cultural Services Department,114.176,22.2756
Tai Hang Drive Sitting-out Area,Pet Garden,Wan Chai,Leisure and Cultural Services Department,114.193,22.2738
Southorn Playground,Playground,Wan Chai,Leisure and Cultural Services Department,114.172,22.277
Kwong Ming Street Children's Playground,Playground,Wan Chai,Leisure and Cultural Services Department,114.169,22.276
Stubbs Road Children's Playground,Playground,Wan Chai,Leisure and Cultural Services Department,114.177,22.2737
Tai Hang Drive Playground,Playground,Wan Chai,Leisure and Cultural Services Department,114.193,22.2744
Tai Hang Road/Blue Pool Road Children's Playground,Playground,Wan Chai,Leisure and Cultural Services Department,114.19,22.2627
Tai Hang Road Children's Playground,Playground,Wan Chai,Leisure and Cultural Services Department,114.191,22.2712
Tai Wo Street Playground,Playground,Wan Chai,Leisure and Cultural Services Department,114.174,22.2763
Bowen Road Temporary Playground,Playground,Wan Chai,Leisure and Cultural Services Department,114.175,22.2714
Tak Yan Street Children's Playground,Playground,Wan Chai,Leisure and Cultural Services Department,114.178,22.2774
So Kon Po Recreation Ground,Playground,Wan Chai,Leisure and Cultural Services Department,114.189,22.2754
Morrison Hill Road Playground,Playground,Wan Chai,Leisure and Cultural Services Department,114.179,22.2754
Moreton Terrace Temporary Playground,Playground,Wan Chai,Leisure and Cultural Services Department,114.19,22.2794
Kwai Fong Street Playground,Playground,Wan Chai,Leisure and Cultural Services Department,114.187,22.2665
Wun Sha Street Children's Playground,Playground,Wan Chai,Leisure and Cultural Services Department,114.193,22.2776
Wan Chai Gap Park/Wan Chai Gap Road Playground,Playground,Wan Chai,Leisure and Cultural Services Department,114.169,22.267
Coombe Road Children's Playground,Playground,Wan Chai,Leisure and Cultural Services Department,114.169,22.2673
Ship Street Playground,Playground,Wan Chai,Leisure and Cultural Services Department,114.17,22.2754
Monmouth Terrace Playground,Playground,Wan Chai,Leisure and Cultural Services Department,114.168,22.2754
Happy Valley Recreation Ground,Playground,Wan Chai,Leisure and Cultural Services Department,114.183,22.2722
Hennessy Road Playground,Playground,Wan Chai,Leisure and Cultural Services Department,114.178,22.278
Lockhart Road Playground,Playground,Wan Chai,Leisure and Cultural Services Department,114.169,22.2786
Bowrington Rd Market RT Children PG,Playground,Wan Chai,Leisure and Cultural Services Department,114.18,22.2784
Wong Nai Chung Gap Children's Playground,Playground,Wan Chai,Leisure and Cultural Services Department,114.194,22.2572
Harbour Road Sports Centre,Sports Centre,Wan Chai,Leisure and Cultural Services Department,114.176,22.2816
Lockhart Road Sports Centre,Sports Centre,Wan Chai,Leisure and Cultural Services Department,114.175,22.2782
Wong Nai Chung Sports Centre,Sports Centre,Wan Chai,Leisure and Cultural Services Department,114.186,22.2689
Bowen Road Fitness Trail,Sports Ground,Wan Chai,Leisure and Cultural Services Department,114.175,22.2716
Bowen Road Tennis Court,Sports Ground,Wan Chai,Leisure and Cultural Services Department,114.167,22.2745
Wan Chai Sports Ground,Sports Ground,Wan Chai,Leisure and Cultural Services Department,114.178,22.2813
Causeway Bay Sports Ground,Sports Ground,Wan Chai,Leisure and Cultural Services Department,114.191,22.2804
Hong Kong Tennis Centre,Sports Ground,Wan Chai,Leisure and Cultural Services Department,114.193,22.2596
Wan Chai Temporary Promenade,Waterfront,Wan Chai,Leisure and Cultural Services Department,114.173,22.2847
Nan Lian Garden,Garden and Sitting-out Area,Wong Tai Sin,Leisure and Cultural Services Department,114.205,22.3391
Shung Ling Street Sitting-out Area,Garden and Sitting-out Area,Wong Tai Sin,Leisure and Cultural Services Department,114.196,22.3344
Hong Keung Street Rest Garden,Garden and Sitting-out Area,Wong Tai Sin,Leisure and Cultural Services Department,114.197,22.3346
Tsz Wan Shan Bus Terminus Sitting-out Area,Garden and Sitting-out Area,Wong Tai Sin,Leisure and Cultural Services Department,114.203,22.3469
Tsz Wan Shan Road Rest Garden,Garden and Sitting-out Area,Wong Tai Sin,Leisure and Cultural Services Department,114.204,22.3468
Tsz Wan Shan Road Sitting-out Area,Garden and Sitting-out Area,Wong Tai Sin,Leisure and Cultural Services Department,114.195,22.3491
San Po Kong Interchange Rest Garden,Garden and Sitting-out Area,Wong Tai Sin,Leisure and Cultural Services Department,114.196,22.3325
San Po Kong Sitting-out Area,Garden and Sitting-out Area,Wong Tai Sin,Leisure and Cultural Services Department,114.194,22.3346
King Fuk Street Sitting-out Area,Garden and Sitting-out Area,Wong Tai Sin,Leisure and Cultural Services Department,114.196,22.3338
Heng Lam Street Sitting-out Area,Garden and Sitting-out Area,Wong Tai Sin,Leisure and Cultural Services Department,114.188,22.3355
Lok Sin Road/Choi Hung Road Sitting-out Area,Garden and Sitting-out Area,Wong Tai Sin,Leisure and Cultural Services Department,114.195,22.3334
Peninsula Lion Garden Shatin Pass,Garden and Sitting-out Area,Wong Tai Sin,Leisure and Cultural Services Department,114.2,22.3552
Ngau Chi Wan Village Sitting-out Area,Garden and Sitting-out Area,Wong Tai Sin,Leisure and Cultural Services Department,114.208,22.3356
Ngau Chi Wan Street Temporary Sitting-out Area,Garden and Sitting-out Area,Wong Tai Sin,Leisure and Cultural Services Department,114.217,22.3351
Wan Fung Street Sitting-out Area,Garden and Sitting-out Area,Wong Tai Sin,Leisure and Cultural Services Department,114.198,22.3449
Junction Road/Fu Keung Street Sitting-out Area,Garden and Sitting-out Area,Wong Tai Sin,Leisure and Cultural Services Department,114.186,22.339
Po Kong Village Rd/Shung Wah St Sitting-out Area,Garden and Sitting-out Area,Wong Tai Sin,Leisure and Cultural Services Department,114.2,22.3459
Po Leung Lane Sitting-out Area,Garden and Sitting-out Area,Wong Tai Sin,Leisure and Cultural Services Department,114.206,22.3463
Nga Chin Wai Village Sitting-out Area,Garden and Sitting-out Area,Wong Tai Sin,Leisure and Cultural Services Department,114.193,22.3346
Kam Fung Street Sitting-out Area,Garden and Sitting-out Area,Wong Tai Sin,Leisure and Cultural Services Department,114.198,22.3449
Fei Fung Street Sitting-out Area,Garden and Sitting-out Area,Wong Tai Sin,Leisure and Cultural Services Department,114.196,22.3446
Lung Cheung Rd N/Po Kong Vill. Rd Sitting-out Area,Garden and Sitting-out Area,Wong Tai Sin,Leisure and Cultural Services Department,114.199,22.3419
