NAME,Type,District,Management,Long,Lat
Hiu Ming Street Playground,Playground,Kwun Tong,Leisure and Cultural Services Department,114.231,22.3159
Yuet Wah Street Playground,Playground,Kwun Tong,Leisure and Cultural Services Department,114.227,22.3151
Lok Wah Playground,Playground,Kwun Tong,Leisure and Cultural Services Department,114.218,22.321
Yau Tong Road Playground,Playground,Kwun Tong,Leisure and Cultural Services Department,114.234,22.3004
Yau Tong Service Reservoir Playground,Playground,Kwun Tong,Leisure and Cultural Services Department,114.241,22.2997
Sau Mau Ping Estate (Stage I) Playground No.3,Playground,Kwun Tong,Leisure and Cultural Services Department,114.229,22.3197
Sau Nga Road Playground,Playground,Kwun Tong,Leisure and Cultural Services Department,114.227,22.3209
Lam Wah Street Playground,Playground,Kwun Tong,Leisure and Cultural Services Department,114.207,22.3228
Lam Tin Service Reservoir Playground,Playground,Kwun Tong,Leisure and Cultural Services Department,114.236,22.3094
Kwun Tong Road Children's Playground,Playground,Kwun Tong,Leisure and Cultural Services Department,114.21,22.3317
Shun Lee Tsuen Playground,Playground,Kwun Tong,Leisure and Cultural Services Department,114.223,22.3318
Tsun Yip Street Playground,Playground,Kwun Tong,Leisure and Cultural Services Department,114.222,22.3119
Lei Yue Mun Road Playground,Playground,Kwun Tong,Leisure and Cultural Services Department,114.239,22.3002
Sau Mau Ping Road Safety Town,Safety Town,Kwun Tong,Leisure and Cultural Services Department,114.231,22.3205
Wai Lok Street Temporary Soccer Pitch,Soccer Pitch,Kwun Tong,Leisure and Cultural Services Department,114.226,22.3039
Kowloon Bay Sports Centre,Sports Centre,Kwun Tong,Leisure and Cultural Services Department,114.212,22.3269
Chun Wah Road Sports Centre,Sports Centre,Kwun Tong,Leisure and Cultural Services Department,114.221,22.3225
Hiu Kwong Street Sports Centre,Sports Centre,Kwun Tong,Leisure and Cultural Services Department,114.228,22.3198
Ngau Tau Kok Road Sports Centre,Sports Centre,Kwun Tong,Leisure and Cultural Services Department,114.216,22.321
Shui Wo Street Sports Centre,Sports Centre,Kwun Tong,Leisure and Cultural Services Department,114.224,22.3157
Lam Tin South Sports Centre,Sports Centre,Kwun Tong,Leisure and Cultural Services Department,114.239,22.3038
Shun Lee Tsuen Sports Centre,Sports Centre,Kwun Tong,Leisure and Cultural Services Department,114.225,22.3297
Lei Yue Mun Sports Centre,Sports Centre,Kwun Tong,Leisure and Cultural Services Department,114.239,22.2921
Kowloon Bay Sports Ground,Sports Ground,Kwun Tong,Leisure and Cultural Services Department,114.21,22.3271
Sin Fat Road Tennis Court,Sports Ground,Kwun Tong,Leisure and Cultural Services Department,114.234,22.3036
Kwun Tong Ferry Pier Square,Square,Kwun Tong,Leisure and Cultural Services Department,114.223,22.308
Kwun Tong Promenade,Waterfront,Kwun Tong,Leisure and Cultural Services Department,114.219,22.31
Lei Yue Mun Waterfront Sitting-out Area,Waterfront,Kwun Tong,Leisure and Cultural Services Department,114.238,22.2921
Sheung Shui Playground/Sheung Shui Heung Basketbal,Basketball Court,North,Leisure and Cultural Services Department,114.125,22.5096
San Uk Ling Basketball Court,Basketball Court,North,Leisure and Cultural Services Department,114.133,22.535
Wing Ling Basketball Court,Basketball Court,North,Leisure and Cultural Services Department,114.151,22.5011
Pak Wo Road Basketball Court,Basketball Court,North,Leisure and Cultural Services Department,114.133,22.4914
Sheung Shui Garden No. 1,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.131,22.5036
Sheung Shui Garden No. 3,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.131,22.5014
Sheung Shui Garden No. 2,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.132,22.5024
Sheung Shui Garden No. 4,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.13,22.5016
Sheung Shui Heung Sitting-out Area No. 9,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.123,22.5078
Sheung Shui Heung Sitting-out Area No. 8,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.123,22.5088
Sheung Shui Heung Sitting-out Area No. 6,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.124,22.5095
Po Wing Road Sitting-out Area,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.128,22.497
Wai Ming Street Garden,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.14,22.4862
Kat O Fisherman Village Sitting-out Area,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.29,22.5513
Kat Cheung Crescent Garden,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.132,22.4964
Tai Tong Wu Sitting-out Area,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.176,22.5205
Tai Tau Leng Sitting-out Area,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.123,22.5023
Tin Ping Road Garden,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.127,22.5093
On Lok Tsuen (No. 3) Sitting-out Area,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.144,22.4966
On Lok Tsuen (No. 1) Sitting-out Area,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.144,22.4984
On Lok Tsuen (No. 5) Sitting-out Area,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.145,22.4927
On Lok Tsuen (No. 4) Sitting-out Area,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.144,22.494
On Lok Tsuen Garden,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.144,22.4978
Siu Hang Tsuen Sitting-out Area,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.147,22.5092
San Wan Road Garden,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.13,22.5005
Wing Ling Tsuen Sitting-out Area,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.15,22.5011
Tin Sam Sitting-out Area,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.139,22.4903
Pak Wo Road Sitting-out Area,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.134,22.4911
Shek Wu Hui Complex Podium Garden,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.131,22.5021
Wo Keng Shan Road Garden,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.179,22.5219
Fan Leng Lau Garden,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.141,22.498
Wai Hon Road Garden,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.129,22.4953
Luen Hing Street Sitting-out Area,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.141,22.4996
Loi Tung Sitting-out Area,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.184,22.5209
Fung Nam Road Garden,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.127,22.5077
Lung Fung Sitting-out Area,Garden and Sitting-out Area,North,Leisure and Cultural Services Department,114.13,22.5024
North District Park,Park,North,Leisure and Cultural Services Department,114.134,22.4987
Fanling Hong Lok Park,Park,North,Leisure and Cultural Services Department,114.144,22.4919
Sheung Shui Playground/Sheung Shui Heung Basketbal,Pet Garden,North,Leisure and Cultural Services Department,114.125,22.5096
Po Wing Road Sitting-out Area,Pet Garden,North,Leisure and Cultural Services Department,114.128,22.497
Sheung Shui Playground/Sheung Shui Heung Basketbal,Playground,North,Leisure and Cultural Services Department,114.125,22.5096
Sheung Wo Hang Children's Playground,Playground,North,Leisure and Cultural Services Department,114.195,22.5239
Tan Chuk Hang Children's Playground,Playground,North,Leisure and Cultural Services Department,114.175,22.5136
Po Wing Road Playground,Playground,North,Leisure and Cultural Services Department,114.13,22.4969
Nam Chung Children's Playground,Playground,North,Leisure and Cultural Services Department,114.208,22.5244
Kwu Tung Playground,Playground,North,Leisure and Cultural Services Department,114.1,22.5045
Kat O Playground,Playground,North,Leisure and Cultural Services Department,114.292,22.5508
Wo Muk Road Playground,Playground,North,Leisure and Cultural Services Department,114.142,22.5005
Wo Hing Playground,Playground,North,Leisure and Cultural Services Department,114.144,22.4846
Wo Hing Playground,Playground,North,Leisure and Cultural Services Department,114.144,22.4846
Wo Hing Playground,Playground,North,Leisure and Cultural Services Department,114.143,22.4841
Wo Hing Playground,Playground,North,Leisure and Cultural Services Department,114.143,22.4841
Ping Che Children's Playground,Playground,North,Leisure and Cultural Services Department,114.158,22.528
Ping Che Kat Tin Children's Playground,Playground,North,Leisure and Cultural Services Department,114.161,22.5283
Tong Hang Playground,Playground,North,Leisure and Cultural Services Department,114.15,22.4895
Tai Tau Leng Playground,Playground,North,Leisure and Cultural Services Department,114.122,22.5026
Hung Leng Children's Playground,Playground,North,Leisure and Cultural Services Department,114.167,22.5148
On Lok Tsuen Playground,Playground,North,Leisure and Cultural Services Department,114.143,22.4972
On Lok Mun Street Playground,Playground,North,Leisure and Cultural Services Department,114.147,22.5002
On Fuk Street Playground,Playground,North,Leisure and Cultural Services Department,114.145,22.4958
Ta Kwu Ling Chuk Yuen Playground,Playground,North,Leisure and Cultural Services Department,114.153,22.5507
Ta Kwu Ling Playground,Playground,North,Leisure and Cultural Services Department,114.154,22.5309
Liu Pok Playground,Playground,North,Leisure and Cultural Services Department,114.106,22.5271
San Uk Leng Playground,Playground,North,Leisure and Cultural Services Department,114.132,22.535
Sing Ping San Tsuen Children's Playground,Playground,North,Leisure and Cultural Services Department,114.155,22.5313
Lei Uk Tsuen Children's Playground,Playground,North,Leisure and Cultural Services Department,114.148,22.535
Tung Fong Children's Playground,Playground,North,Leisure and Cultural Services Department,114.101,22.5086
Tsung Yuen Ha Playground,Playground,North,Leisure and Cultural Services Department,114.156,22.5524
Tsung Pak Long Children's Playground,Playground,North,Leisure and Cultural Services Department,114.118,22.504
Sha Ling Playground,Playground,North,Leisure and Cultural Services Department,114.122,22.5251
Sha Tau Kok Children's Playground,Playground,North,Leisure and Cultural Services Department,114.224,22.5467
Sha Tau Kok Recreation Ground,Playground,North,Leisure and Cultural Services Department,114.221,22.5447
Ho Sheung Heung Playground,Playground,North,Leisure and Cultural Services Department,114.109,22.5107
Yin Kong Playground,Playground,North,Leisure and Cultural Services Department,114.112,22.5045
Nga Yiu Village Children's Playground,Playground,North,Leisure and Cultural Services Department,114.138,22.542
Pak Wo Road Playground,Playground,North,Leisure and Cultural Services Department,114.133,22.4924
